Date,Open,High,Low,Close,Adj Close,Volume
2015-07-25,41.700001,43.410000,41.549999,43.230000,40.340446,9440725
2015-08-01,43.389999,44.049999,42.970001,43.540001,40.629730,6013087
2015-08-08,43.009998,43.869999,41.599998,41.799999,39.006031,6884367
2015-08-15,41.799999,42.459999,40.029999,40.360001,37.662289,6807243
2015-08-22,38.400002,42.459999,38.349998,41.400002,38.632771,13881237
2015-08-29,41.889999,43.279999,41.189999,42.299999,39.472607,10763575
2015-09-05,41.799999,42.750000,41.220001,41.830002,39.034027,4880995
2015-09-12,41.770000,43.000000,41.509998,42.529999,39.687241,8567572
2015-09-19,42.470001,43.200001,41.259998,41.500000,38.726082,6609141
2015-09-26,41.310001,43.029999,41.020000,42.540001,39.696571,12710458
2015-10-03,42.990002,44.500000,42.580002,44.250000,41.292274,12655086
2015-10-10,44.180000,45.000000,43.240002,44.880001,41.880161,6121381
2015-10-17,44.810001,47.860001,44.430000,47.340000,44.175735,9519892
2015-10-24,46.860001,48.000000,45.580002,46.869999,43.737144,9943213
2015-10-31,46.869999,49.000000,46.500000,47.189999,44.035751,8110358
2015-11-07,46.099998,48.669998,46.009998,46.900002,43.765144,6987011
2015-11-14,46.900002,49.259998,46.759998,49.040001,45.762100,6079797
2015-11-21,48.959999,48.970001,46.549999,46.950001,43.811794,6916115
2015-11-28,46.900002,48.000000,45.299999,46.360001,43.261238,12582403
2015-12-05,46.009998,47.009998,43.650002,45.340000,42.309410,7615707
2015-12-12,44.439999,48.049999,43.980000,46.310001,43.214577,10306508
2015-12-19,46.380001,47.000000,46.020000,46.410000,43.307896,3528622
2015-12-26,46.340000,47.310001,45.080002,45.950001,42.878639,2884885
2016-01-02,45.049999,46.849998,44.709999,46.560001,43.447868,10376255
2016-01-09,46.560001,47.990002,45.619999,47.180000,44.026424,12524608
2016-01-16,47.000000,47.599998,45.000000,47.380001,44.213058,5609697
2016-01-23,47.490002,51.470001,46.709999,50.660000,47.273819,11673545
2016-01-30,50.660000,53.470001,49.599998,50.099998,46.751244,11284855
2016-02-06,49.680000,52.750000,49.669998,50.410000,47.040527,5049819
2016-02-13,50.660000,53.000000,50.660000,52.830002,49.298775,9483117
2016-02-20,52.520000,53.750000,50.770000,51.730000,48.272297,8629737
2016-02-27,51.650002,54.790001,51.099998,52.330002,48.832191,14696010
2016-03-05,52.090000,52.490002,50.009998,50.340000,46.975208,8637811
2016-03-12,51.380001,53.180000,50.000000,51.070000,47.656410,12909394
2016-03-19,51.070000,52.270000,50.099998,51.400002,47.964352,4544612
2016-03-26,51.650002,51.970001,49.880001,50.580002,47.199169,10794764
2016-04-02,50.660000,50.900002,48.900002,49.110001,45.827419,13710611
2016-04-09,49.110001,49.980000,48.849998,49.150002,45.864746,12548159
2016-04-16,49.080002,50.790001,47.680000,50.020000,46.676594,19100615
2016-04-23,50.099998,52.650002,49.500000,52.450001,49.177334,13513167
2016-04-30,52.369999,54.250000,52.000000,53.450001,50.114937,10001992
